"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"410","4324946","LOC4324946","1","uncharacterized LOC4324946","pseudo","-","-"
"411","4325011","LOC4325011","1","uncharacterized LOC4325011","ncRNA","-","-"
"412","4325088","LOC4325088","1","uncharacterized LOC4325088","ncRNA","-","-"
"413","4325122","LOC4325122","1","fatty alcohol:caffeoyl-CoA acyltransferase-like","pseudo","-","-"
"414","4325223","LOC4325223","1","uncharacterized LOC4325223","ncRNA","-","-"
"415","4325233","LOC4325233","1","uncharacterized LOC4325233","ncRNA","-","-"
"416","4325261","LOC4325261","1","serine carboxypeptidase-like 50","pseudo","-","-"
"417","4325268","LOC4325268","1","uncharacterized LOC4325268","pseudo","-","-"
"418","4325313","LOC4325313","1","uncharacterized LOC4325313","ncRNA","-","-"
"419","4325345","LOC4325345","1","uncharacterized LOC4325345","pseudo","-","-"
"420","4325417","LOC4325417","1","peroxidase 27-like","pseudo","-","-"
"421","4325419","LOC4325419","1","uncharacterized LOC4325419","ncRNA","-","-"
"422","4325551","LOC4325551","1","protein RICE FLOWERING LOCUS T 1-like","pseudo","-","-"
"423","4325623","LOC4325623","1","uncharacterized LOC4325623","ncRNA","-","-"
"424","4325627","LOC4325627","1","uncharacterized LOC4325627","ncRNA","-","-"
"425","4325665","LOC4325665","1","uncharacterized LOC4325665","ncRNA","-","-"
"426","4325676","LOC4325676","1","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1","pseudo","-","-"
"427","4325677","LOC4325677","1","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4","pseudo","-","-"
"428","4325703","LOC4325703","1","uncharacterized LOC4325703","ncRNA","-","-"
"429","4325711","LOC4325711","1","probable glutathione S-transferase GSTF1","pseudo","-","-"
"430","4325725","LOC4325725","1","uncharacterized LOC4325725","ncRNA","-","-"
"431","4325783","LOC4325783","1","uncharacterized LOC4325783","ncRNA","-","-"
"432","4325787","LOC4325787","1","uncharacterized LOC4325787","ncRNA","-","-"
"433","4325842","LOC4325842","1","uncharacterized LOC4325842","pseudo","-","-"
"434","4325852","LOC4325852","1","uncharacterized LOC4325852","ncRNA","-","-"
"435","4325883","LOC4325883","1","bark storage protein A-like","pseudo","-","-"
"436","4325997","LOC4325997","1","E3 ubiquitin-protein ligase SINA-like 10","pseudo","-","-"
"437","4326017","LOC4326017","1","alpha-amylase-like","pseudo","-","-"
"438","4326029","LOC4326029","1","uncharacterized LOC4326029","ncRNA","-","-"
"439","4326032","LOC4326032","1","uncharacterized LOC4326032","ncRNA","-","-"
"440","4326056","LOC4326056","1","uncharacterized LOC4326056","ncRNA","-","-"
"441","4326059","LOC4326059","1","uncharacterized LOC4326059","ncRNA","-","-"
"442","4326088","LOC4326088","1","rust resistance kinase Lr10-like","pseudo","-","-"
"443","4326103","LOC4326103","1","rust resistance kinase Lr10-like","pseudo","-","-"
"444","4326107","LOC4326107","1","rust resistance kinase Lr10-like","pseudo","-","-"
"445","4326108","LOC4326108","1","rust resistance kinase Lr10-like","pseudo","-","-"
"446","4326111","LOC4326111","1","uncharacterized LOC4326111","ncRNA","-","-"
"447","4326113","LOC4326113","1","uncharacterized LOC4326113","ncRNA","-","-"
"448","4326129","LOC4326129","1","late embryogenesis abundant protein 19-like","pseudo","-","-"
"449","4326173","LOC4326173","1","uncharacterized LOC4326173","ncRNA","-","-"
"450","4326210","LOC4326210","1","uncharacterized LOC4326210","ncRNA","-","-"
"451","4326246","LOC4326246","1","transcription initiation factor TFIID subunit 7-like","pseudo","-","-"
"452","4326256","LOC4326256","1","GDSL esterase/lipase At1g28600-like","pseudo","-","-"
"453","4326275","LOC4326275","1","uncharacterized LOC4326275","ncRNA","-","-"
"454","4326323","LOC4326323","1","splicing factor U2af small subunit B-like","pseudo","-","-"
"455","4326372","LOC4326372","1","cysteine protease RD19A-like","pseudo","-","-"
"456","4326413","LOC4326413","1","cysteine-rich receptor-like protein kinase 10","pseudo","-","-"
"457","4326424","LOC4326424","1","uncharacterized LOC4326424","ncRNA","-","-"
"458","4326434","LOC4326434","1","insulin-degrading enzyme-like 1, peroxisomal","pseudo","-","-"
"459","4326470","LOC4326470","1","uncharacterized LOC4326470","ncRNA","-","-"
"460","4326474","LOC4326474","1","uncharacterized LOC4326474","ncRNA","-","-"
"461","4326493","LOC4326493","1","uncharacterized LOC4326493","pseudo","-","-"
"462","4326556","LOC4326556","1","polyubiquitin 11-like","pseudo","-","-"
"463","4326589","LOC4326589","1","uncharacterized LOC4326589","pseudo","-","-"
"464","4326597","LOC4326597","1","dihydroflavonol 4-reductase-like","pseudo","-","-"
"465","4326632","LOC4326632","1","uncharacterized LOC4326632","pseudo","-","-"
"466","4326646","LOC4326646","1","uncharacterized LOC4326646","ncRNA","-","-"
"467","4326691","LOC4326691","1","uncharacterized LOC4326691","ncRNA","-","-"
"468","4326703","LOC4326703","1","GDSL esterase/lipase At5g45910-like","pseudo","-","-"
"469","4326718","LOC4326718","1","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","pseudo","-","-"
"470","4326727","LOC4326727","1","uncharacterized LOC4326727","ncRNA","-","-"
"471","4326781","LOC4326781","1","uncharacterized LOC4326781","ncRNA","-","-"
"472","4326785","LOC4326785","1","uncharacterized LOC4326785","ncRNA","-","-"
"473","4326807","LOC4326807","1","uncharacterized LOC4326807","pseudo","-","-"
"474","4326824","LOC4326824","1","uncharacterized LOC4326824","ncRNA","-","-"
"475","4326825","LOC4326825","1","uncharacterized LOC4326825","ncRNA","-","-"
"476","4326848","LOC4326848","1","uncharacterized LOC4326848","ncRNA","-","-"
"477","4326873","LOC4326873","1","uncharacterized LOC4326873","ncRNA","-","-"
"478","4326975","LOC4326975","1","uncharacterized LOC4326975","ncRNA","-","-"
"479","4327148","LOC4327148","1","uncharacterized LOC4327148","ncRNA","-","-"
"480","4327185","LOC4327185","1","probable LRR receptor-like serine/threonine-protein kinase At3g47570","pseudo","-","-"
"481","4327194","LOC4327194","1","serine/threonine-protein phosphatase 7 long form homolog","pseudo","-","-"
"482","4327228","LOC4327228","1","60S ribosomal protein L7a-1-like","pseudo","-","-"
"483","4327263","LOC4327263","1","serine/arginine-rich-splicing factor SR34-like","pseudo","-","-"
"484","4327320","LOC4327320","1","uncharacterized LOC4327320","ncRNA","-","-"
"485","4327356","LOC4327356","1","probable LRR receptor-like serine/threonine-protein kinase At1g51810","pseudo","-","-"
"486","4327376","LOC4327376","1","single-stranded DNA-binding protein, mitochondrial-like","pseudo","-","-"
"487","4327444","LOC4327444","1","uncharacterized LOC4327444","ncRNA","-","-"
"488","4327503","LOC4327503","1","mitochondrial Rho GTPase 1-like","pseudo","-","-"
"489","4327523","LOC4327523","1","PRA1 family protein B2-like","pseudo","-","-"
"490","4327540","LOC4327540","1","cytochrome P450 94C1-like","pseudo","-","-"
"491","4327553","LOC4327553","1","uncharacterized LOC4327553","ncRNA","-","-"
"492","4327577","LOC4327577","1","uncharacterized LOC4327577","pseudo","-","-"
"493","4327712","LOC4327712","1","uncharacterized LOC4327712","ncRNA","-","-"
"494","4327910","LOC4327910","1","uncharacterized LOC4327910","ncRNA","-","-"
"495","4327917","LOC4327917","1","uncharacterized LOC4327917","ncRNA","-","-"
"496","4327959","LOC4327959","1","uncharacterized LOC4327959","pseudo","-","-"
"497","4327982","LOC4327982","2","SKP1-like protein 1","pseudo","-","-"
"498","4328259","LOC4328259","2","achilleol B synthase-like","pseudo","-","-"
"499","4328261","LOC4328261","2","achilleol B synthase-like","pseudo","-","-"
"500","4328270","LOC4328270","2","splicing factor 3B subunit 1-like","pseudo","-","-"
"501","4328333","LOC4328333","2","tyrosine-sulfated glycopeptide receptor 1-like","pseudo","-","-"
"502","4328352","LOC4328352","2","uncharacterized LOC4328352","ncRNA","-","-"
"503","4328357","LOC4328357","2","receptor-like protein 2","pseudo","-","-"
"504","4328388","LOC4328388","2","LRR receptor-like serine/threonine-protein kinase FLS2","pseudo","-","-"
"505","4328409","LOC4328409","2","uncharacterized LOC4328409","ncRNA","-","-"
"506","4328413","LOC4328413","2","uncharacterized LOC4328413","ncRNA","-","-"
"507","4328465","LOC4328465","2","uncharacterized LOC4328465","ncRNA","-","-"
"508","4328510","LOC4328510","2","uncharacterized LOC4328510","ncRNA","-","-"
"509","4328529","LOC4328529","2","ent-cassadiene hydroxylase-like","pseudo","-","-"
"510","4328569","LOC4328569","2","uncharacterized LOC4328569","ncRNA","-","-"
"511","4328680","LOC4328680","2","UDP-glycosyltransferase 73E1-like","pseudo","-","-"
"512","4328703","LOC4328703","2","uncharacterized LOC4328703","ncRNA","-","-"
"513","4328711","LOC4328711","2","uncharacterized LOC4328711","ncRNA","-","-"
"514","4328719","LOC4328719","2","uncharacterized LOC4328719","ncRNA","-","-"
"515","4328726","LOC4328726","2","uncharacterized LOC4328726","ncRNA","-","-"
"516","4328729","LOC4328729","2","uncharacterized LOC4328729","ncRNA","-","-"
"517","4328849","LOC4328849","2","UDP-glycosyltransferase 72B1-like","pseudo","-","-"
"518","4328868","LOC4328868","2","uncharacterized LOC4328868","ncRNA","-","-"
"519","4328919","LOC4328919","2","uncharacterized LOC4328919","ncRNA","-","-"
"520","4328977","LOC4328977","2","subtilisin-like protease SBT3.9","pseudo","-","-"
"521","4329010","LOC4329010","2","probable leucine-rich repeat receptor-like protein kinase At1g35710","pseudo","-","-"
"522","4329026","LOC4329026","2","putative disease resistance protein RGA1","pseudo","-","-"
"523","4329030","LOC4329030","2","uncharacterized LOC4329030","protein-coding","-","-"
"524","4329040","LOC4329040","2","disease resistance protein RGA5-like","pseudo","-","-"
"525","4329083","LOC4329083","2","uncharacterized LOC4329083","ncRNA","-","-"
"526","4329099","LOC4329099","2","uncharacterized LOC4329099","ncRNA","-","-"
"527","4329108","LOC4329108","2","putative disease resistance protein RGA4","pseudo","-","-"
"528","4329127","LOC4329127","2","uncharacterized LOC4329127","ncRNA","-","-"
"529","4329138","LOC4329138","2","uncharacterized LOC4329138","ncRNA","-","-"
"530","4329177","LOC4329177","2","uncharacterized LOC4329177","ncRNA","-","-"
"531","4329180","LOC4329180","2","40S ribosomal protein S7-like","pseudo","-","-"
"532","4329189","LOC4329189","2","uncharacterized LOC4329189","ncRNA","-","-"
"533","4329202","LOC4329202","2","uncharacterized LOC4329202","ncRNA","-","-"
"534","4329231","LOC4329231","2","uncharacterized LOC4329231","ncRNA","-","-"
"535","4329264","LOC4329264","2","uncharacterized LOC4329264","ncRNA","-","-"
"536","4329273","LOC4329273","2","uncharacterized LOC4329273","ncRNA","-","-"
"537","4329296","LOC4329296","2","uncharacterized LOC4329296","ncRNA","-","-"
"538","4329304","LOC4329304","2","uncharacterized LOC4329304","ncRNA","-","-"
"539","4329327","LOC4329327","2","uncharacterized LOC4329327","ncRNA","-","-"
"540","4329369","LOC4329369","2","ornithine decarboxylase-like","pseudo","-","-"
"541","4329371","LOC4329371","2","phenolic glucoside malonyltransferase 1-like","pseudo","-","-"
"542","4329372","LOC4329372","2","phenolic glucoside malonyltransferase 1-like","pseudo","-","-"
"543","4329406","LOC4329406","2","uncharacterized LOC4329406","ncRNA","-","-"
"544","4329426","LOC4329426","2","isoflavone 3'-hydroxylase-like","pseudo","-","-"
"545","4329485","LOC4329485","2","uncharacterized LOC4329485","ncRNA","-","-"
"546","4329487","LOC4329487","2","uncharacterized LOC4329487","ncRNA","-","-"
"547","4329589","LOC4329589","2","uncharacterized LOC4329589","ncRNA","-","-"
"548","4329604","LOC4329604","2","elongation factor-like GTPase 1 pseudogene","pseudo","-","-"
"549","4329610","LOC4329610","2","uncharacterized LOC4329610","ncRNA","-","-"
"550","4329617","LOC4329617","2","uncharacterized LOC4329617","pseudo","-","-"
"551","4329620","LOC4329620","2","uncharacterized LOC4329620","pseudo","-","-"
"552","4329762","LOC4329762","2","7-deoxyloganetin glucosyltransferase-like","pseudo","-","-"
"553","4329800","LOC4329800","2","uncharacterized LOC4329800","ncRNA","-","-"
"554","4329804","LOC4329804","2","uncharacterized LOC4329804","ncRNA","-","-"
"555","4329808","LOC4329808","2","uncharacterized LOC4329808","ncRNA","-","-"
"556","4329824","LOC4329824","2","lecithin-cholesterol acyltransferase-like 1","pseudo","-","-"
"557","4329827","LOC4329827","2","uncharacterized LOC4329827","ncRNA","-","-"
"558","4329843","LOC4329843","2","uncharacterized LOC4329843","ncRNA","-","-"
"559","4329890","LOC4329890","2","uncharacterized LOC4329890","ncRNA","-","-"
"560","4329893","LOC4329893","2","cytochrome P450 71D8-like","pseudo","-","-"
"561","4329906","LOC4329906","2","uncharacterized LOC4329906","ncRNA","-","-"
"562","4329945","LOC4329945","2","uncharacterized LOC4329945","ncRNA","-","-"
"563","4330138","LOC4330138","2","palmitoyl-acyl carrier protein thioesterase, chloroplastic-like","pseudo","-","-"
"564","4330169","LOC4330169","2","small nucleolar RNA SNORD14","ncRNA","-","-"
"565","4330223","LOC4330223","2","uncharacterized LOC4330223","ncRNA","-","-"
"566","4330242","LOC4330242","2","uncharacterized LOC4330242","ncRNA","-","-"
"567","4330278","LOC4330278","2","uncharacterized LOC4330278","ncRNA","-","-"
"568","4330333","LOC4330333","2","uncharacterized LOC4330333","pseudo","-","-"
"569","4330395","LOC4330395","2","E3 ubiquitin-protein ligase RNF14-like","pseudo","-","-"
"570","4330516","LOC4330516","2","uncharacterized LOC4330516","ncRNA","-","-"
"571","4330557","LOC4330557","2","ubiquitin-conjugating enzyme E2 11-like","pseudo","-","-"
"572","4330572","LOC4330572","2","DNA-directed RNA polymerases I and III subunit rpac1-like","pseudo","-","-"
"573","4330661","LOC4330661","2","uncharacterized LOC4330661","ncRNA","-","-"
"574","4330729","LOC4330729","2","uncharacterized LOC4330729","ncRNA","-","-"
"575","4330858","LOC4330858","2","mitogen-activated protein kinase kinase kinase 1-like","pseudo","-","-"
"576","4330885","LOC4330885","2","uncharacterized LOC4330885","ncRNA","-","-"
"577","4330892","LOC4330892","2","uncharacterized LOC4330892","protein-coding","-","-"
"578","4330915","LOC4330915","2","subtilisin-like protease SBT1.4","pseudo","-","-"
"579","4331041","LOC4331041","2","uncharacterized LOC4331041","ncRNA","-","-"
"580","4331208","LOC4331208","2","uncharacterized LOC4331208","pseudo","-","-"
"581","4331212","LOC4331212","2","uncharacterized LOC4331212","pseudo","-","-"
"582","4331299","LOC4331299","3","uncharacterized LOC4331299","ncRNA","-","-"
"583","4331309","LOC4331309","3","probable protein phosphatase 2C 34","pseudo","-","-"
"584","4331314","LOC4331314","3","uncharacterized LOC4331314","ncRNA","-","-"
"585","4331324","LOC4331324","3","expansin-B1-like","pseudo","-","-"
"586","4331496","LOC4331496","3","uncharacterized LOC4331496","ncRNA","-","-"
"587","4331504","LOC4331504","3","uncharacterized LOC4331504","pseudo","-","-"
"588","4331636","LOC4331636","3","uncharacterized LOC4331636","pseudo","-","-"
"589","4331639","LOC4331639","3","protein GDAP2 homolog","pseudo","-","-"
"590","4331701","LOC4331701","3","uncharacterized LOC4331701","ncRNA","-","-"
"591","4331724","LOC4331724","3","uncharacterized LOC4331724","ncRNA","-","-"
"592","4331739","LOC4331739","3","glycerol-3-phosphate 2-O-acyltransferase 6-like","pseudo","-","-"
"593","4331785","LOC4331785","3","uncharacterized LOC4331785","ncRNA","-","-"
"594","4331829","LOC4331829","3","uncharacterized LOC4331829","ncRNA","-","-"
"595","4331921","LOC4331921","3","uncharacterized LOC4331921","ncRNA","-","-"
"596","4331936","LOC4331936","3","uncharacterized LOC4331936","ncRNA","-","-"
"597","4331938","LOC4331938","3","uncharacterized LOC4331938","ncRNA","-","-"
"598","4331954","LOC4331954","3","serine--tRNA ligase-like","pseudo","-","-"
"599","4332005","LOC4332005","3","uncharacterized LOC4332005","ncRNA","-","-"
"600","4332074","LOC4332074","3","serine/arginine repetitive matrix protein 1","protein-coding","-","-"
"601","4332091","LOC4332091","3","uncharacterized LOC4332091","ncRNA","-","-"
"602","4332295","LOC4332295","3","uncharacterized LOC4332295","ncRNA","-","-"
"603","4332304","LOC4332304","3","L-type lectin-domain containing receptor kinase IV.1-like","pseudo","-","-"
"604","4332450","LOC4332450","3","uncharacterized LOC4332450","pseudo","-","-"
"605","4332454","LOC4332454","3","protein IN2-1 homolog B-like","pseudo","-","-"
"606","4332636","LOC4332636","3","cysteine-rich repeat secretory protein 55-like","pseudo","-","-"
"607","4332702","LOC4332702","3","pyruvate kinase, cytosolic isozyme-like","pseudo","-","-"
"608","4332746","LOC4332746","3","uncharacterized LOC4332746","ncRNA","-","-"
"609","4332769","LOC4332769","3","uncharacterized LOC4332769","ncRNA","-","-"
"610","4332777","LOC4332777","3","uncharacterized LOC4332777","ncRNA","-","-"
"611","4332816","LOC4332816","3","flowering-promoting factor 1-like protein 5","pseudo","-","-"
"612","4332908","LOC4332908","3","probable mediator of RNA polymerase II transcription subunit 26b","pseudo","-","-"
"613","4332938","LOC4332938","3","cytochrome P450 709B1-like","pseudo","-","-"
"614","4332940","LOC4332940","3","cytochrome P450 709B2-like","pseudo","-","-"
"615","4332974","LOC4332974","3","40S ribosomal protein S9-2-like","pseudo","-","-"
"616","4332997","LOC4332997","3","uncharacterized LOC4332997","ncRNA","-","-"
"617","4333021","LOC4333021","3","uncharacterized LOC4333021","pseudo","-","-"
"618","4333052","LOC4333052","3","uncharacterized LOC4333052","ncRNA","-","-"
"619","4333055","LOC4333055","3","protein GOS9-like","pseudo","-","-"
"620","4333140","LOC4333140","3","3-oxo-Delta(4,5)-steroid 5-beta-reductase-like","pseudo","-","-"
"621","4333178","LOC4333178","3","uncharacterized LOC4333178","ncRNA","-","-"
"622","4333229","LOC4333229","3","uncharacterized LOC4333229","ncRNA","-","-"
